 NUM  NOME         POSTO JUS  SSIS V.INIC U.EXIS MODIF INIC.HIST FIM HIS DESVIOS 
 XXXX XXXXXXXXXXXX XXXX  XXXX XXXX XXX.XX XXXX   XXXX     XXXX     XXXX XXXX XXXX
    1 CAMARGOS        1     2   10  76.35   EX      1     1931     2019        UC
    2 ITUTINGA        2     4   10   0.00   EX      1     1931     2019        UC
    4 FUNIL GRANDE  211     6   10   0.00   EX      1     1931     2019        UC
    6 FURNAS          6     7   10  38.63   EX      1     1931     2019        UC
    7 MASC. MORAES    7     8   10  51.24   EX      1     1931     2019        UC
    8 ESTREITO GDE    8     9   10   0.00   EX      1     1931     2019        UC
    9 JAGUARA         9    10   10   0.00   EX      1     1931     2019        UC
   10 IGARAPAVA      10    11   10   0.00   EX      1     1931     2019        UC
   11 VOLTA GRANDE   11    12   10   0.00   EX      1     1931     2019        UC
   12 P. COLOMBIA    12    17   10   0.00   EX      1     1931     2019        UC
   14 CACONDE        14    15   10  29.90   EX      1     1931     2019        UC
   15 EUCLID CUNHA   15    16   10   0.00   EX      1     1931     2019        UC
   16 A.S.OLIVEIRA   16    17   10   0.00   EX      1     1931     2019        UC
   17 MARIMBONDO     17    18   10  12.17   EX      1     1931     2019        UC
   18 A. VERMELHA    18    34   10  13.60   EX      1     1931     2019        UC
   20 BATALHA        22    21   10  59.20   EX      1     1931     2019        UC
   21 SERRA FACAO   251    24   10  26.45   EX      1     1931     2019        UC
   24 EMBORCACAO     24    31   10  21.86   EX      1     1931     2019        UC
   25 NOVA PONTE     25    26   10  16.68   EX      1     1931     2019        UC
   26 MIRANDA       206    27   10  69.08   EX      1     1931     2019        UC
   27 CAPIM BRANC1  207    28   10  58.64   EX      1     1931     2019        UC
   28 CAPIM BRANC2   28    31   10   0.00   EX      1     1931     2019        UC
   29 CORUMBA IV    205   203   10  95.71   EX      0     1931     2019        UC
   30 CORUMBA I     209    31   10  92.77   EX      1     1931     2019        UC
   31 ITUMBIARA      31    32   10  33.74   EX      1     1931     2019        UC
   32 CACH DOURADA   32    33   10   0.00   EX      1     1931     2019        UC
   33 SAO SIMAO      33    34   10  19.90   EX      1     1931     2019        UC
   34 _I. SOLTEIRA   34    45   10  47.38   EX      1     1931     2019        UC
   37 BARRA BONITA   37    38   10  57.50   EX      1     1931     2019        UC
   38 A.SOUZA LIMA   38    39   10   0.00   EX      1     1931     2019        UC
   39 IBITINGA       39    40   10   0.00   EX      1     1931     2019        UC
   40 PROMISSAO      40    42   10  60.90   EX      1     1931     2019        UC
   42 N.AVANHANDAV   42    43   10   0.00   EX      1     1931     2019        UC
   43 _TRES IRMAOS   43    45   10  47.72   EX      1     1931     2019        UC
   45 JUPIA          45    46   10   0.00   EX      1     1931     2019        UC
   46 P. PRIMAVERA   46    66   10   0.00   EX      1     1931     2019        UC
   47 A.A. LAYDNER   47    48   12  34.54   EX      1     1931     2019        UC
   48 PIRAJU         48    49   12   0.00   EX      1     1931     2019        UC
   49 CHAVANTES      49   249   12  19.46   EX      1     1931     2019        UC
   50 L. N. GARCEZ   50    51   12   0.00   EX      1     1931     2019        UC
   51 CANOAS II      51    52   12   0.00   EX      1     1931     2019        UC
   52 CANOAS I       52    61   12   0.00   EX      1     1931     2019        UC
   54 S BRANCA TIB   54    56   11   0.00   NE      0     1931     2019        UC
   56 TELEM BORBA    56    57   11   0.00   NE      1     1931     2019        UC
   57 MAUA           57     0   11  59.00   EX      1     1931     2019        UC
   61 CAPIVARA       61    62   12  64.91   EX      1     1931     2019        UC
   62 TAQUARUCU      62    63   12   0.00   EX      1     1931     2019        UC
   63 ROSANA         63    66   12   0.00   EX      1     1931     2019        UC
   66 ITAIPU         66     0    5   0.00   EX      1     1931     2019        UC
   71 STA CLARA PR   71    72   11  60.00   EX      0     1931     2019        UC
   72 FUNDAO         72    73   11   0.00   EX      0     1931     2019        UC
   73 JORDAO         70    77   11 100.00   EX      1     1931     2019        UC
   74 G. B. MUNHOZ   74    76   11  72.30   EX      0     1931     2019        UC
   76 SEGREDO        75    77   11  60.20   EX      0     1931     2019        UC
   77 SLT.SANTIAGO   77    78   11  71.56   EX      0     1931     2019        UC
   78 SALTO OSORIO   78    82   11   0.00   EX      1     1931     2019        UC
   82 SALTO CAXIAS  222    83   11   0.00   EX      1     1931     2019        UC
   83 BAIXO IGUACU   81     0   11   0.00   EX      1     1931     2019        UC
   86 BARRA GRANDE  215    91    2  55.12   EX      1     1931     2019        UC
   88 SAO ROQUE      88    89    2   0.00   NE      0     1931     2019        UC
   89 GARIBALDI      89    90    2  49.97   EX      1     1931     2019        UC
   90 CAMPOS NOVOS  216    91    2  48.26   EX      0     1931     2019        UC
   91 MACHADINHO    217    92    2  39.69   EX      1     1931     2019        UC
   92 ITA            92   103    2   0.00   EX      1     1931     2019        UC
   93 PASSO FUNDO    93    94    2  44.01   EX      0     1931     2019        UC
   94 MONJOLINHO    220   103    2   0.00   EX      0     1931     2019        UC
   95 QUEBRA QUEIX  286     0    2  61.72   EX      1     1931     2019        UC
   97 CASTRO ALVES   98    98    2   0.00   EX      0     1931     2019        UC
   98 MONTE CLARO    97    99    2   0.00   EX      0     1931     2019        UC
   99 14 DE JULHO   284     0    2   0.00   EX      0     1931     2019        UC
  101 SAO JOSE      102   102    2   0.00   EX      1     1931     2019        UC
  102 PASSO S JOAO  103     0    2   0.00   EX      1     1931     2019        UC
  103 FOZ CHAPECO    94     0    2   0.00   EX      1     1931     2019        UC
  110 ERNESTINA     110   111    2  28.20   EX      0     1931     2019        UC
  111 PASSO REAL    111   112    2  26.59   EX      1     1931     2019        UC
  112 JACUI         112   113    2   0.00   EX      1     1931     2019        UC
  113 ITAUBA        113   114    2   0.00   EX      1     1931     2019        UC
  114 D. FRANCISCA  114     0    2   0.00   EX      1     1931     2019        UC
  115 G. P. SOUZA   115     0    2  69.50   EX      1     1931     2019        UC
  117 GUARAPIRANGA  117   118    1  74.78   EX      0     1931     2019        UC
  118 BILLINGS      319   119    1  73.38   EX      1     1931     2019        UC
  119 HENRY BORDEN  318     0    1   0.00   EX      1     1931     2019          
  120 JAGUARI       120   123    1  67.69   EX      1     1931     2019        UC
  121 PARAIBUNA/PA  121   122    1  52.40   EX      1     1931     2019        UC
